epoch,iter,miou,macc,oa,mf1,bg_iou,abuth_iou,cotton_iou,cotton_as_abuth,abuth_as_cotton
4,50,59.83,68.93,95.06,68.16,97.9,14.38,67.21,0.45,69.78
7,100,67.49,75.01,94.52,78.97,95.7,50.47,56.29,14.28,6.36
10,150,81.95,89.43,97.46,89.52,98.45,66.78,80.61,12.16,1.21
13,200,89.46,92.27,98.43,94.26,98.56,79.52,90.3,0.69,5.66
16,250,88.83,93.4,98.36,93.9,98.68,79.43,88.39,0.48,10.32
19,300,88.99,93.09,98.46,93.97,98.81,78.69,89.47,0.17,11.26
22,350,91.48,95.08,98.74,95.44,98.89,83.78,91.78,0.71,5.39
25,400,93.21,96.48,98.93,96.42,98.94,87.17,93.51,1.18,0.98
29,450,93.69,96.38,99.0,96.68,98.98,87.93,94.15,0.19,2.3
32,500,92.6,95.87,98.82,96.08,98.84,86.46,92.49,0.0,4.06
35,550,91.37,94.32,98.75,95.37,98.92,83.36,91.82,0.0,7.12
38,600,92.59,95.28,98.88,96.07,98.94,85.8,93.04,0.0,4.61
41,650,90.82,94.29,98.67,95.06,98.89,82.42,91.16,0.0,8.19
44,700,91.52,95.09,98.76,95.47,98.96,84.01,91.6,0.02,7.57
47,750,92.82,95.8,98.91,96.2,98.99,86.42,93.05,0.12,4.65
50,800,92.49,95.49,98.88,96.02,98.99,85.71,92.78,0.07,5.4
